objectid,evidencnecislovrtupomocne,evidencnecislovrtu,povodneevidencnecislo,mapa,povodie,hydrorajon,lokalita,prevadzajucaorganizacia,suradnicax,suradnicay,suradnicazteren,suradnicazpazenie,hlbkavrtu,typvrtu,typvrtupopis,archivnecislospravy,archivnecisloretazec,utajeniespravydo,spracovaldatum,poznamka,pdf
3469,M-33-132-A-b/11,11,vŕtaná studňa,M-33-132-A-b,Dunaj,50 QN,Stráže nad Víhom,2707/57,1234087,521666.31,166.9,,32,1,úzkoprofilový vrt s obyčajnou pitnou a úžitkovou vodou,5577,,,113443200000,,132Ab11.pdf
3471,M-33-132-A-b/13,13,HV-1,M-33-132-A-b,Dunaj,49 N,Vrbové,,1233058,523035.81,178,178.5,50,1,úzkoprofilový vrt s obyčajnou pitnou a úžitkovou vodou,32254,,,162518400000,,132Ab13.pdf
3472,M-33-132-A-b/14,14,HV-2,M-33-132-A-b,Dunaj,49 N,Vrbové,,1233372,523383.19,186,186.5,26,1,úzkoprofilový vrt s obyčajnou pitnou a úžitkovou vodou,32254,,,162086400000,,132Ab14.pdf
3473,M-33-132-A-b/15,15,HV-3,M-33-132-A-b,Dunaj,49 N,Vrbové,,1233196,522839.31,174.1,174.6,22,1,úzkoprofilový vrt s obyčajnou pitnou a úžitkovou vodou,32254,,,162604800000,,132Ab15.pdf
3474,M-33-132-A-b/16,16,HT-2,M-33-132-A-b,Dunaj,50 QN,Trebatice,1/75,1235685,521946.69,169.5,169.5,31,3,"širokoprofilový vrt (Ø vŕtania nad 600 mm) s obyčajnou pitnou a úžitkovou vodou, kopaná studňa",34687,,,204163200000,,132Ab16.pdf
3475,M-33-132-A-b/17,17,HŠT-1,M-33-132-A-b,Dunaj,49 N,Šterusy,196/75,1233219,527236.69,237.5,,97.5,1,úzkoprofilový vrt s obyčajnou pitnou a úžitkovou vodou,42162,,,303436800000,,132Ab17.pdf
3476,M-33-132-A-b/18,18,HKN-1,M-33-132-A-b,Dunaj,49 N,Kočín,75/74,1234706,527838.38,228.2,228.7,60,3,"širokoprofilový vrt (Ø vŕtania nad 600 mm) s obyčajnou pitnou a úžitkovou vodou, kopaná studňa",34722,,,210729600000,,132Ab18.pdf
3477,M-33-132-A-b/19,19,S-1,M-33-132-A-b,Dunaj,49 N,Vrbové,116/79,1233253,523294.41,185,,265,1,úzkoprofilový vrt s obyčajnou pitnou a úžitkovou vodou,51242,,,391737600000,,132Ab19.pdf
3483,M-33-132-A-b/25,25,DLB-1,M-33-132-A-b,Dunaj,53 MN,Dolný Lopašov - Dubník,,1235308,529437.5,250,,15,15,negatívny vrt,74907,,,695952000000,,132Ab25.pdf
3494,M-33-132-A-b/36,36,HZ-1,M-33-132-A-b,Dunaj,49 N,Vrbové,,1232942.94,523734.92,198.61,,15,4,monitorovací vrt,76473,,,699062400000,,132Ab36.pdf
